start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost
"(0, 0)","(160, 80)",20,56.41551264075318,53.76955262170045,59.74350260912002
"(0, 0)","(180, 100)",20,76.57854353213774,68.76955262170044,89.24168917725927
"(0, 0)","(180, 100)",20,54.20580499769343,49.28427124746189,51.3947444036431
"(0, 0)","(180, 100)",20,117.87241264158529,104.52691193458116,159.5652580317563
"(0, 0)","(180, 120)",20,10.34335302188186,10.0,12.08925745600777
"(0, 0)","(180, 120)",20,84.41505892360568,70.8406204335659,97.34734644078304
"(0, 0)","(180, 120)",20,48.71423682391643,45.14213562373095,66.58585614518178
"(0, 0)","(180, 120)",20,136.8447856413808,116.08326112068518,140.5910829299896
"(0, 0)","(180, 140)",20,64.31603779782037,54.21320343559643,58.11945932000481
"(0, 0)","(180, 140)",20,33.476752515610485,1.4142135623730951,1.333657385460019
"(0, 0)","(180, 140)",20,108.87904022209162,102.8700576850888,133.82457739757535
"(0, 0)","(180, 140)",20,38.593595869039966,28.0,42.12512484383009
"(0, 0)","(180, 140)",20,57.09597679341277,51.48528137423857,75.01498623542987
"(0, 0)","(180, 140)",20,93.33442185233456,80.14213562373095,89.8131905750418
"(0, 0)","(180, 140)",20,84.5009753106518,85.3847763108502,111.8275384441116
"(0, 0)","(180, 180)",20,69.77059089564806,63.0832611206852,87.57087490031816
"(0, 0)","(180, 180)",20,151.7785398112917,135.68124086713186,161.65125284794112
"(0, 0)","(180, 180)",20,7.123672072122355,7.414213562373095,38.05548934841799
"(0, 0)","(180, 180)",20,47.636664984096825,44.72792206135785,52.962393231547104
"(0, 0)","(180, 40)",20,42.294819689297725,39.97056274847714,45.5443737404476
"(0, 0)","(180, 40)",20,122.52250954019604,118.39696961966992,137.84551626745798
"(0, 0)","(180, 60)",20,56.52241173600598,50.01219330881973,58.37307606839013
"(0, 0)","(180, 80)",20,71.8499519296879,66.52691193458116,88.85791674307538
"(0, 0)","(180, 80)",20,51.41991801323169,44.8700576850888,49.03238097879248
"(0, 0)","(180, 80)",20,9.463348701127355,9.485281374238571,9.891324612240952
"(0, 0)","(20, 100)",20,84.16811511323475,85.98275605729681,94.56830045791158
"(0, 0)","(60, 80)",20,73.87065805942342,71.69848480983494,106.9755056233932
"(0, 0)","(80, 100)",20,75.48157425179647,67.35533905932733,128.3211344975283
"(0, 0)","(80, 140)",20,22.2526931811486,6.242640687119285,8.844621723652013
"(0, 0)","(80, 140)",20,26.19533600356004,18.313708498984763,21.976260360464902
