start,goal,range,[our]_reached_goal_global_pick,[our]_path_cost_global_pick,[our]_reached_goal_neighbor_pick,[our]_path_cost_neighbor_pick,[RRTX]_reached_goal,[RRTX]_path_cost
"(0, 0)","(40, 40)",25,True,56.57135249431992,1,56.57135249431992,1,60.96334952481128
"(0, 0)","(40, 40)",30,True,56.56856109247314,1,56.56856109247314,1,58.45635984296784
"(0, 0)","(60, 80)",10,True,405.2398815012139,0,0.0,0,0.0
"(0, 0)","(60, 80)",15,True,271.1363740729781,0,0.0,0,0.0
"(0, 0)","(60, 80)",20,True,234.26898238358345,0,0.0,0,0.0
"(0, 0)","(60, 80)",25,True,312.2869134714186,0,0.0,0,0.0
"(0, 0)","(60, 80)",30,True,224.86261759558917,0,0.0,0,0.0
"(0, 0)","(60, 80)",10,True,271.5606362454104,1,271.5606362454104,1,243.9738972872385
"(0, 0)","(60, 80)",15,True,265.16869872245223,1,265.16869872245223,1,250.53614461515977
"(0, 0)","(60, 80)",20,True,107.36356536954456,1,107.36356536954456,1,218.4380566536669
"(0, 0)","(60, 80)",25,True,242.07982762892647,1,242.07982762892647,1,210.66704311650247
"(0, 0)","(60, 80)",30,True,222.8253492525025,1,222.8253492525025,1,211.6966356146103
"(0, 0)","(80, 100)",10,True,549.5203391605388,0,0.0,0,0.0
"(0, 0)","(80, 100)",15,True,263.7252151986569,0,0.0,0,0.0
"(0, 0)","(80, 100)",20,True,262.1445240510336,0,0.0,0,0.0
"(0, 0)","(80, 100)",25,True,288.04724028888484,0,0.0,0,0.0
"(0, 0)","(80, 100)",30,True,258.5687534251712,0,0.0,0,0.0
"(0, 0)","(80, 100)",10,True,313.5555869356496,1,3262.447906536657,1,272.8451330759504
"(0, 0)","(80, 100)",15,True,258.5300601294145,1,258.5300601294145,1,269.0038513802022
"(0, 0)","(80, 100)",20,True,280.76268254316426,1,280.76268254316426,1,254.37220863653357
"(0, 0)","(80, 100)",25,True,262.1917858178426,1,262.1917858178426,1,241.9031636488107
"(0, 0)","(80, 100)",30,True,241.13815146918668,1,241.13815146918668,1,228.02219218118543
"(0, 0)","(80, 140)",10,False,546.1456490025024,0,0.0,0,0.0
"(0, 0)","(80, 140)",15,True,701.3234777465424,0,0.0,0,0.0
"(0, 0)","(80, 140)",20,True,476.4746219983472,0,0.0,0,0.0
"(0, 0)","(80, 140)",25,True,607.723810914891,0,0.0,0,0.0
"(0, 0)","(80, 140)",30,True,484.5870294326122,0,0.0,0,0.0
"(0, 0)","(80, 140)",10,True,1003.7183857113312,1,696.6884267380447,0,569.7415286558539
"(0, 0)","(80, 140)",15,True,646.0224712241062,1,687.6425882677338,1,513.2781564926099
"(0, 0)","(80, 140)",20,True,657.2471203538877,1,562.8186870257892,0,543.7129210394446
"(0, 0)","(80, 140)",25,True,444.9294567231197,1,444.9294567231197,1,452.9524588951306
"(0, 0)","(80, 140)",30,True,390.2080187569156,1,390.2080187569156,0,556.5782447524371
"(0, 0)","(80, 20)",10,True,92.72701870595286,0,0.0,0,0.0
"(0, 0)","(80, 20)",15,True,90.53272925884448,0,0.0,0,0.0
"(0, 0)","(80, 20)",20,True,87.13572389873929,0,0.0,0,0.0
"(0, 0)","(80, 20)",25,True,84.84876921597898,0,0.0,0,0.0
"(0, 0)","(80, 20)",30,True,100.49146625800653,0,0.0,0,0.0
"(0, 0)","(80, 20)",10,True,98.33996422269692,1,102.5479970570924,1,93.2737647357324
"(0, 0)","(80, 20)",15,True,85.86273327403892,1,85.86273327403892,1,86.87166407253825
"(0, 0)","(80, 20)",20,True,85.61001728677591,1,85.61001728677591,1,95.3780574750206
"(0, 0)","(80, 20)",25,True,90.04274082186194,1,90.04274082186194,1,88.9555690307064
"(0, 0)","(80, 20)",30,True,201.1790898389432,1,201.1790898389432,1,88.68821739021408
"(0, 0)","(80, 60)",10,True,100.203087540632,0,0.0,0,0.0
"(0, 0)","(80, 60)",15,True,100.09922821960134,0,0.0,0,0.0
"(0, 0)","(80, 60)",20,True,100.01183222241502,0,0.0,0,0.0
"(0, 0)","(80, 60)",25,True,100.00059765990898,0,0.0,0,0.0
"(0, 0)","(80, 60)",30,True,100.00625286356728,0,0.0,0,0.0
"(0, 0)","(80, 60)",10,True,100.15805349197356,1,100.15805349197356,1,102.73163744368676
"(0, 0)","(80, 60)",15,True,100.03016418851914,1,100.03016418851914,1,102.63251532541938
"(0, 0)","(80, 60)",20,True,100.00670216726868,1,100.00670216726868,1,106.72700043753352
"(0, 0)","(80, 60)",25,True,100.00640223991724,1,100.00640223991724,1,105.0395867900454
"(0, 0)","(80, 60)",30,True,100.00444526583507,1,100.00444526583507,1,103.56348656054008
