start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost,ASP_improve_path_turn,Astar_path_turn,RRTStar_path_turn,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(140, 100)",20,34.203118838875014,31.82842712474619,42.82349398639435,12,3,11,0.0656704902648925,0.0032341480255126,0.0021884441375732
"(0, 0)","(140, 100)",20,80.53953691081935,78.38477631085024,95.29130551804218,5,25,27,0.0009753704071044,0.0574049949645996,0.0033917427062988
"(0, 0)","(140, 140)",20,59.74955390755719,53.79898987322333,85.55959700988713,13,13,23,0.1237010955810546,0.0198762416839599,0.0010700225830078
"(0, 0)","(140, 140)",20,95.39585055316763,100.8406204335659,114.65349508022383,27,39,33,0.2367317676544189,0.0969893932342529,0.0013597011566162
"(0, 0)","(140, 140)",20,27.0514426981448,27.38477631085024,54.91782778473177,2,14,15,0.0008041858673095,0.0038182735443115,0.0009524822235107
"(0, 0)","(140, 140)",20,180.98808602940065,172.2964645562818,191.7189135074782,17,27,56,0.293250560760498,0.2024741172790527,0.0021674633026123
"(0, 0)","(140, 140)",20,78.39139077603592,67.72792206135786,83.1452833603796,5,17,25,0.0070388317108154,0.0815269947052002,0.0013961791992187
"(0, 0)","(140, 140)",20,92.47606985328537,54.0,58.68588719110591,32,0,16,0.0029091835021972,0.0021326541900634,0.0026795864105224
"(0, 0)","(140, 140)",20,68.36358977119372,68.82842712474618,73.92273925749103,0,3,20,0.0012073516845703,0.0160136222839355,0.005505084991455
"(0, 0)","(140, 140)",20,39.04445825351529,21.899494936611667,23.41264352537601,1,9,5,0.0005526542663574,0.0041325092315673,0.0011906623840332
"(0, 0)","(140, 140)",20,80.63487483979955,44.41421356237309,60.003348844839735,6,1,16,0.1071791648864746,0.034416913986206,0.0110907554626464
"(0, 0)","(140, 140)",20,34.9772650255993,37.07106781186548,49.62130084242028,0,7,14,0.0014975070953369,0.0077123641967773,0.0029604434967041
"(0, 0)","(140, 140)",20,15.905851555365007,16.414213562373096,18.745367710370385,0,1,4,0.0005130767822265,0.0007493495941162,0.0008928775787353
"(0, 0)","(160, 120)",20,75.63477275871435,51.91168824543139,58.13172161792503,43,2,15,0.2458119392395019,0.0013375282287597,0.0009267330169677
"(0, 0)","(160, 120)",20,25.88139772103436,11.485281374238571,11.989245153873416,3,4,2,0.0019848346710205,0.0006194114685058,0.0002667903900146
"(0, 0)","(160, 120)",20,36.786468272702926,37.35533905932738,41.15848164035561,0,4,10,0.0002861022949218,0.0034286975860595,0.0011355876922607
"(0, 0)","(160, 120)",20,8.157979105957144,8.82842712474619,11.59971732727689,0,3,3,0.0053818225860595,0.0005781650543212,0.0001368522644042
"(0, 0)","(160, 120)",20,31.70961690052968,30.79898987322333,33.50966930248177,3,18,8,0.0173237323760986,0.0062983036041259,0.0005006790161132
"(0, 0)","(160, 120)",20,94.59103259832118,95.36753236814704,121.01442370201342,15,28,37,0.2263357639312744,0.0881645679473877,0.0024480819702148
"(0, 0)","(160, 120)",20,38.17658820852324,28.242640687119287,55.245959993021614,4,4,14,0.0566840171813964,0.0031912326812744,0.0009863376617431
"(0, 0)","(160, 120)",20,56.32472055158041,54.89949493661167,59.05978897981055,2,13,16,0.0004794597625732,0.0160984992980957,0.0005760192871093
"(0, 0)","(160, 120)",20,32.71190088735367,27.414213562373096,31.74995250614369,7,1,8,0.0423684120178222,0.0014998912811279,0.0014219284057617
"(0, 0)","(160, 120)",20,174.44890252984789,168.39696961967007,192.61467964885816,22,19,55,0.2161037921905517,0.1525025367736816,0.001842975616455
"(0, 0)","(160, 120)",20,124.98184914377715,103.2253967444161,136.5160250106539,13,26,37,0.1208281517028808,0.1387529373168945,0.0017201900482177
"(0, 0)","(160, 160)",20,66.30994592717704,63.04163056034261,77.0464661885797,2,21,21,0.1619808673858642,0.031541109085083,0.0010488033294677
"(0, 0)","(160, 160)",20,95.7815823512845,97.01219330881972,113.0814750335816,15,43,35,0.2337222099304199,0.1202600002288818,0.0010373592376708
"(0, 0)","(160, 160)",20,62.77226390004239,61.04163056034263,85.02664558454688,11,3,26,0.0083255767822265,0.0092945098876953,0.0011060237884521
"(0, 0)","(160, 160)",20,167.75190880822095,158.22539674441623,205.8352640081156,35,27,60,0.2845883369445801,0.1374547481536865,0.0029733180999755
"(0, 0)","(160, 160)",20,73.69392583342331,72.38477631085024,102.24142182668452,2,25,29,0.0738389492034912,0.0373957157135009,0.0013689994812011
"(0, 0)","(160, 160)",20,37.64603946809829,18.82842712474619,19.25976161065197,2,3,5,0.000472068786621,0.0013160705566406,0.0004012584686279
"(0, 0)","(160, 160)",20,37.77349482852663,39.07106781186548,40.1083516340562,2,5,11,0.000256061553955,0.0066790580749511,0.0019376277923583
"(0, 0)","(160, 160)",20,23.826796790853315,25.142135623730955,30.58968223671288,1,10,8,0.0006592273712158,0.0024604797363281,0.0005552768707275
"(0, 0)","(160, 80)",20,81.96445905937823,64.91168824543139,69.10166321513077,19,4,21,0.1376583576202392,0.0598425865173339,0.000943899154663
"(0, 0)","(160, 80)",20,25.80165067742682,27.899494936611667,27.098178107272407,0,11,6,0.031825304031372,0.0046813488006591,0.0007743835449218
"(0, 0)","(160, 80)",20,56.41551264075318,53.76955262170045,59.74350260912002,6,4,18,0.1014614105224609,0.0259883403778076,0.0005545616149902
"(0, 0)","(180, 100)",20,76.57854353213774,68.76955262170044,89.24168917725927,18,29,25,0.1342628002166748,0.0374727249145507,0.0010862350463867
"(0, 0)","(180, 100)",20,54.20580499769343,49.28427124746189,51.3947444036431,6,20,13,0.0967175960540771,0.0169618129730224,0.000554084777832
"(0, 0)","(180, 100)",20,117.87241264158529,104.52691193458116,159.5652580317563,19,37,46,0.2645390033721924,0.076880931854248,0.0028104782104492
"(0, 0)","(180, 120)",20,10.34335302188186,10.0,12.08925745600777,0,0,3,0.0025122165679931,0.0002603530883789,0.0001919269561767
"(0, 0)","(180, 120)",20,84.41505892360568,70.8406204335659,97.34734644078304,28,26,28,0.0019299983978271,0.0470154285430908,0.0012593269348144
"(0, 0)","(180, 120)",20,48.71423682391643,45.14213562373095,66.58585614518178,2,14,18,0.1190779209136962,0.0076785087585449,0.0008306503295898
"(0, 0)","(180, 120)",20,136.8447856413808,116.08326112068518,140.5910829299896,68,61,38,0.4093124866485595,0.5552310943603516,0.0018954277038574
"(0, 0)","(180, 140)",20,64.31603779782037,54.21320343559643,58.11945932000481,33,25,17,0.0019311904907226,0.0179595947265625,0.0008559226989746
"(0, 0)","(180, 140)",20,33.476752515610485,1.4142135623730951,1.333657385460019,7,0,0,0.0005037784576416,0.0001053810119628,7.271766662597656e-05
"(0, 0)","(180, 140)",20,108.87904022209162,102.8700576850888,133.82457739757535,11,27,38,0.1865479946136474,0.1100668907165527,0.0012791156768798
"(0, 0)","(180, 140)",20,38.593595869039966,28.0,42.12512484383009,1,0,12,0.0002734661102294,0.0006909370422363,0.0005598068237304
"(0, 0)","(180, 140)",20,57.09597679341277,51.48528137423857,75.01498623542987,3,11,21,0.0028152465820312,0.0126330852508544,0.0014026165008544
"(0, 0)","(180, 140)",20,93.33442185233456,80.14213562373095,89.8131905750418,2,15,26,0.010913610458374,0.0672130584716796,0.0006508827209472
"(0, 0)","(180, 140)",20,84.5009753106518,85.3847763108502,111.8275384441116,6,7,32,0.0552704334259033,0.1771783828735351,0.0033435821533203
"(0, 0)","(180, 180)",20,69.77059089564806,63.0832611206852,87.57087490031816,13,10,25,0.1898281574249267,0.1102993488311767,0.0013072490692138
"(0, 0)","(180, 180)",20,151.7785398112917,135.68124086713186,161.65125284794112,24,42,46,0.35597825050354,0.1998400688171386,0.0040619373321533
"(0, 0)","(180, 180)",20,7.123672072122355,7.414213562373095,38.05548934841799,0,1,10,0.000262975692749,0.0003077983856201,0.0007164478302001
"(0, 0)","(180, 180)",20,47.636664984096825,44.72792206135785,52.962393231547104,23,11,14,0.1553940773010254,0.0088605880737304,0.0009973049163818
"(0, 0)","(180, 40)",20,42.294819689297725,39.97056274847714,45.5443737404476,2,15,12,0.0067763328552246,0.0091078281402587,0.0007655620574951
"(0, 0)","(180, 40)",20,122.52250954019604,118.39696961966992,137.84551626745798,8,31,38,0.180375337600708,0.1245100498199462,0.0080316066741943
"(0, 0)","(180, 60)",20,56.52241173600598,50.01219330881973,58.37307606839013,17,4,16,0.0966577529907226,0.0165600776672363,0.0005455017089843
"(0, 0)","(180, 80)",20,71.8499519296879,66.52691193458116,88.85791674307538,14,23,27,0.0893588066101074,0.0177323818206787,0.0012524127960205
"(0, 0)","(180, 80)",20,51.41991801323169,44.8700576850888,49.03238097879248,3,18,13,0.0496745109558105,0.0161027908325195,0.000354528427124
"(0, 0)","(180, 80)",20,9.463348701127355,9.485281374238571,9.891324612240952,0,2,2,0.000521183013916,0.0003726482391357,0.0002310276031494
"(0, 0)","(20, 100)",20,84.16811511323475,85.98275605729681,94.56830045791158,18,24,28,0.1322243213653564,0.0554828643798828,0.0013000965118408
"(0, 0)","(60, 80)",20,73.87065805942342,71.69848480983494,106.9755056233932,12,11,31,0.1054410934448242,0.0201005935668945,0.0014307498931884
"(0, 0)","(80, 100)",20,75.48157425179647,67.35533905932733,128.3211344975283,33,7,37,0.0726041793823242,0.0231714248657226,0.0016577243804931
"(0, 0)","(80, 140)",20,22.2526931811486,6.242640687119285,8.844621723652013,2,4,2,0.0002877712249755,0.0002164840698242,0.000190258026123
"(0, 0)","(80, 140)",20,26.19533600356004,18.313708498984763,21.976260360464902,4,12,5,0.0004189014434814,0.001927375793457,0.0007786750793457
