start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost,ASP_improve_path_turn,Astar_path_turn,RRTStar_path_turn,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(50, 50)",20,37.80517850058119,16.313708498984763,30.67270293052875,4,8,9,0.0041146278381347,0.0012509822845458,0.0003225803375244
"(0, 0)","(50, 50)",20,26.575584790287124,27.21320343559644,33.05379768586656,0,10,8,0.0055654048919677,0.0048754215240478,0.0008769035339355
"(0, 0)","(60, 20)",20,21.45726455848192,22.313708498984763,38.47482756720751,1,13,10,0.0116872787475585,0.0027058124542236,0.0013129711151123
"(0, 0)","(60, 20)",20,72.8248028386487,58.07106781186548,72.35159251676629,4,9,20,0.0571498870849609,0.0191290378570556,0.0012853145599365
"(0, 0)","(60, 20)",20,61.71797156936008,64.62741699796953,75.586279382886,6,21,21,0.0761780738830566,0.0383222103118896,0.0034503936767578
"(0, 0)","(60, 20)",20,23.69618788551477,22.142135623730955,29.34249081794061,2,12,6,0.0003283023834228,0.003389835357666,0.0010151863098144
"(0, 0)","(60, 20)",20,110.61724609523904,94.39696961966992,152.98059732461988,6,40,45,0.1191940307617187,0.1261532306671142,0.0061132907867431
"(0, 0)","(60, 20)",20,100.4965476512728,100.76955262170044,106.41828731947416,13,51,30,0.1185615062713623,0.1940641403198242,0.0156080722808837
"(0, 0)","(60, 20)",20,35.123817239728496,20.07106781186548,20.007933965102875,1,5,4,0.0013387203216552,0.0052587985992431,0.0007402896881103
"(0, 0)","(60, 20)",20,34.852968866922296,37.07106781186548,41.493256924073904,11,7,9,0.1744816303253173,0.0069353580474853,0.0017633438110351
"(0, 0)","(60, 20)",20,64.52379960596707,57.31370849898477,63.29812334227996,4,15,17,0.053110122680664,0.0214488506317138,0.0017435550689697
"(0, 0)","(60, 20)",20,15.31865970665345,5.656854249492381,5.010899933844327,2,0,1,0.000392198562622,0.0023016929626464,0.0001676082611083
"(0, 0)","(60, 20)",20,53.85114474800838,55.07106781186548,59.70753812736069,1,9,16,0.003345251083374,0.0163145065307617,0.0029914379119873
"(0, 0)","(60, 30)",20,6.31310666624202,7.242640687119285,6.514807637803383,0,4,1,0.0007810592651367,0.0004096031188964,7.605552673339844e-05
"(0, 0)","(60, 30)",20,24.9126315075571,23.55634918610405,45.69303711771786,1,12,13,0.0074591636657714,0.0033788681030273,0.0005519390106201
"(0, 0)","(60, 30)",20,20.81140460323157,22.313708498984763,21.91117247243105,0,13,5,0.0001962184906005,0.0030291080474853,0.0005085468292236
"(0, 0)","(60, 30)",20,21.38102645531328,21.414213562373096,30.34314022409463,0,1,7,0.0012800693511962,0.0011665821075439,0.000831127166748
"(0, 0)","(60, 30)",20,22.559672536524022,22.79898987322333,25.336214052138164,0,4,7,0.0005085468292236,0.0025420188903808,0.0010068416595458
"(0, 0)","(60, 30)",20,40.96535943349279,6.0,6.127012206468012,5,0,1,0.0005347728729248,0.0001783370971679,0.0001664161682128
"(0, 0)","(60, 30)",20,26.08672625263816,26.414213562373096,27.247713254928303,2,1,7,0.0121552944183349,0.0013985633850097,0.0010178089141845
"(0, 0)","(60, 30)",20,58.52498967892556,36.41421356237309,37.54611538636706,4,1,10,0.0531215667724609,0.0022082328796386,0.0013566017150878
"(0, 0)","(60, 30)",20,35.1976506177773,22.55634918610405,26.16944592521111,1,10,5,0.0005357265472412,0.0033268928527832,0.0009758472442626
"(0, 0)","(60, 30)",20,81.48136103846925,75.41421356237309,90.37251737534316,5,1,25,0.1530513763427734,0.0077028274536132,0.0020203590393066
"(0, 0)","(60, 50)",20,34.990638901240075,26.313708498984763,49.502242870472855,3,11,13,0.0404098033905029,0.0042908191680908,0.0009102821350097
"(0, 0)","(60, 50)",20,4.668117996827949,4.82842712474619,4.668117996827948,0,2,0,0.0018603801727294,0.0002710819244384,0.0001165866851806
"(0, 0)","(60, 50)",20,38.20573844489251,32.31370849898477,38.92911702360997,4,13,9,0.0390210151672363,0.0060272216796875,0.0006427764892578
"(0, 0)","(60, 50)",20,24.67283301732496,25.899494936611667,29.50785595626516,2,5,8,0.0181522369384765,0.0018191337585449,0.0005903244018554
"(0, 0)","(60, 50)",20,13.888670959931083,12.72792206135786,18.311500536658457,2,0,5,0.0007939338684082,0.0002679824829101,0.0002079010009765
"(0, 0)","(60, 50)",20,22.93099398219452,21.142135623730955,36.221664385411074,3,8,9,0.0027680397033691,0.0016841888427734,0.000795841217041
"(0, 0)","(60, 50)",20,2.364032774863097,2.414213562373095,2.364032774863097,0,1,0,0.0004539489746093,0.0001521110534667,7.724761962890625e-05
"(0, 0)","(60, 50)",20,51.149068162817,48.0,58.900397391611286,2,0,15,0.0022428035736083,0.0032756328582763,0.0011272430419921
"(0, 0)","(60, 50)",20,68.12293473994539,71.72792206135786,79.63126537419396,4,17,19,0.1107034683227539,0.0427660942077636,0.0040113925933837
"(0, 0)","(60, 50)",20,76.13075608334185,78.72792206135786,86.71926942581588,1,17,21,0.003385305404663,0.0502974987030029,0.0017480850219726
"(0, 0)","(60, 50)",20,72.70190800882406,71.0,80.88134342315522,12,0,22,0.0800478458404541,0.0033791065216064,0.0039169788360595
"(0, 0)","(60, 60)",20,45.28372174547478,46.45584412271569,54.09596646586807,5,9,15,0.0025680065155029,0.0091650485992431,0.0007097721099853
"(0, 0)","(60, 60)",20,34.64051320302425,31.45584412271572,31.641443049791743,3,10,7,0.0011248588562011,0.0052554607391357,0.0004603862762451
"(0, 0)","(60, 60)",20,18.282984397879027,12.72792206135786,20.99876298027337,4,0,5,0.0007202625274658,0.0002641677856445,0.0004429817199707
"(0, 0)","(60, 60)",20,23.25987065411858,25.142135623730955,30.38222031902725,0,18,7,0.0003032684326171,0.0043511390686035,0.0007297992706298
"(0, 0)","(60, 60)",20,24.424596997815804,21.0,22.64201641057209,2,0,6,0.0005285739898681,0.0004980564117431,0.0004825592041015
"(0, 0)","(60, 60)",20,59.548637875797205,41.0,45.887971590585686,2,0,13,0.0010454654693603,0.0013515949249267,0.0017712116241455
"(0, 0)","(60, 60)",20,58.76691492333418,57.0,63.45784728666749,1,0,17,0.0015225410461425,0.002687931060791,0.003603458404541
"(0, 0)","(60, 60)",20,46.90004524682794,42.14213562373094,50.42113960641706,3,10,13,0.001483678817749,0.0370776653289794,0.0019245147705078
"(0, 0)","(60, 70)",20,46.81856010587431,29.65685424949238,56.90292973377305,5,7,17,0.0040774345397949,0.0040657520294189,0.0005562305450439
"(0, 0)","(60, 70)",20,60.83159889319904,61.66904755831211,68.85581499326997,4,6,20,0.0662147998809814,0.0245821475982666,0.0013003349304199
"(0, 0)","(60, 70)",20,21.049144901627727,20.79898987322333,28.09215824504217,0,2,7,0.0002501010894775,0.0009737014770507,0.0004050731658935
"(0, 0)","(60, 70)",20,22.20227148309516,21.414213562373096,27.03073131418819,1,1,7,0.0004870891571044,0.001039981842041,0.0011534690856933
"(0, 0)","(60, 70)",20,39.67108347209633,39.41421356237309,45.792301685448976,2,1,12,0.0003378391265869,0.0023407936096191,0.0021712779998779
"(0, 0)","(60, 70)",20,26.80441456695819,13.65685424949238,21.57608858424501,2,3,5,0.0007224082946777,0.0012781620025634,0.0006008148193359
"(0, 0)","(60, 70)",20,6.45658025079393,6.656854249492381,23.803791624075423,0,2,5,0.0001218318939208,0.0007104873657226,0.0006616115570068
"(0, 0)","(60, 70)",20,74.08378957073447,68.41421356237309,73.66726726165378,4,1,20,0.0129375457763671,0.0063261985778808,0.0030078887939453
"(0, 0)","(60, 70)",20,37.56216621905481,20.0,21.25800865461712,1,0,4,0.0003342628479003,0.0006070137023925,0.0007767677307128
"(0, 0)","(60, 70)",20,37.184661076747325,37.76955262170047,43.06455077150409,0,2,11,0.0584943294525146,0.0016560554504394,0.0019631385803222
"(0, 0)","(60, 80)",20,21.575424799287447,19.970562748477143,27.74227635697868,3,4,8,0.0010836124420166,0.0019066333770751,0.0004806518554687
"(0, 0)","(60, 80)",20,44.00326334038656,29.313708498984763,58.42000207752958,7,11,16,0.1536531448364257,0.021979808807373,0.0017290115356445
"(0, 0)","(60, 80)",20,33.17706999390488,31.79898987322333,49.07970392276791,3,20,14,0.0133688449859619,0.0078933238983154,0.0015895366668701
"(0, 0)","(70, 20)",20,23.883001691145125,22.07106781186548,36.45757902726325,2,7,10,0.0023772716522216,0.002446174621582,0.0004112720489501
"(0, 0)","(70, 20)",20,22.02346779243725,23.970562748477143,26.37182973855301,0,10,7,0.0002479553222656,0.0030746459960937,0.0004053115844726
"(0, 0)","(70, 20)",20,25.113441611546577,1.0,1.5581481809864055,2,0,0,0.0002615451812744,0.0001037120819091,5.960464477539063e-05
"(0, 0)","(70, 20)",20,39.41118985475413,41.89949493661167,45.32602529930007,0,5,12,0.0004072189331054,0.0098426342010498,0.0028650760650634
